"","model_label","Model_Code","refLabel","refPercent","BpS_Name","Var1","Var2","Freq","BPS_CODE","ZONE","total_count","currentPercent"
"1","10110_20_29_A","10110_20_29","A",17,"Rocky Mountain Aspen Forest and Woodland",1249,1,6294,10110,29,124040,5
"2","10110_20_29_B","10110_20_29","B",18,"Rocky Mountain Aspen Forest and Woodland",1249,2,8608,10110,29,124040,6
"3","10110_20_29_C","10110_20_29","C",25,"Rocky Mountain Aspen Forest and Woodland",1249,3,12704,10110,29,124040,10
"4","10110_20_29_D","10110_20_29","D",26,"Rocky Mountain Aspen Forest and Woodland",1249,4,64804,10110,29,124040,52
"5","10110_20_29_E","10110_20_29","E",14,"Rocky Mountain Aspen Forest and Woodland",1249,5,26266,10110,29,124040,21
"6","10110_20_29_Agriculture","10110_20_29","Agriculture",0,"Rocky Mountain Aspen Forest and Woodland",1249,180,342,10110,29,124040,0
"7","10110_20_29_Developed","10110_20_29","Developed",0,"Rocky Mountain Aspen Forest and Woodland",1249,120,1074,10110,29,124040,0
"8","10110_20_29_Water","10110_20_29","Water",0,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"9","10110_20_29_UN","10110_20_29","UN",0,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"10","10110_20_29_UE","10110_20_29","UE",0,"Rocky Mountain Aspen Forest and Woodland",1249,7,3948,10110,29,124040,3
"11","10480_29_A","10480_29","A",9,"Northwestern Great Plains Highland White Spruce Woodland",1250,1,21706,10480,29,395702,5
"12","10480_29_B","10480_29","B",8,"Northwestern Great Plains Highland White Spruce Woodland",1250,2,11916,10480,29,395702,3
"13","10480_29_C","10480_29","C",22,"Northwestern Great Plains Highland White Spruce Woodland",1250,3,847,10480,29,395702,0
"14","10480_29_D","10480_29","D",30,"Northwestern Great Plains Highland White Spruce Woodland",1250,4,6110,10480,29,395702,1
"15","10480_29_E","10480_29","E",31,"Northwestern Great Plains Highland White Spruce Woodland",1250,5,335878,10480,29,395702,84
"16","10480_29_Agriculture","10480_29","Agriculture",0,"Northwestern Great Plains Highland White Spruce Woodland",1250,180,611,10480,29,395702,0
"17","10480_29_Developed","10480_29","Developed",0,"Northwestern Great Plains Highland White Spruce Woodland",1250,120,11470,10480,29,395702,2
"18","10480_29_Water","10480_29","Water",0,"Northwestern Great Plains Highland White Spruce Woodland",NA,NA,NA,NA,NA,NA,NA
"19","10480_29_UN","10480_29","UN",0,"Northwestern Great Plains Highland White Spruce Woodland",NA,NA,NA,NA,NA,NA,NA
"20","10480_29_UE","10480_29","UE",0,"Northwestern Great Plains Highland White Spruce Woodland",1250,7,7164,10480,29,395702,1
"21","10490_19_20_21_23_28_29_A","10490_19_20_21_23_28_29","A",21,"Rocky Mountain Foothill Limber Pine-Juniper Woodland",1251,1,7,10490,29,74,9
"22","10490_19_20_21_23_28_29_B","10490_19_20_21_23_28_29","B",31,"Rocky Mountain Foothill Limber Pine-Juniper Woodland",1251,2,51,10490,29,74,68
"23","10490_19_20_21_23_28_29_C","10490_19_20_21_23_28_29","C",48,"Rocky Mountain Foothill Limber Pine-Juniper Woodland",1251,3,13,10490,29,74,17
"24","10490_19_20_21_23_28_29_D","10490_19_20_21_23_28_29","D",NA,"Rocky Mountain Foothill Limber Pine-Juniper Woodland",NA,NA,NA,NA,NA,NA,NA
"25","10490_19_20_21_23_28_29_E","10490_19_20_21_23_28_29","E",NA,"Rocky Mountain Foothill Limber Pine-Juniper Woodland",NA,NA,NA,NA,NA,NA,NA
"26","10490_19_20_21_23_28_29_Agriculture","10490_19_20_21_23_28_29","Agriculture",0,"Rocky Mountain Foothill Limber Pine-Juniper Woodland",NA,NA,NA,NA,NA,NA,NA
"27","10490_19_20_21_23_28_29_Developed","10490_19_20_21_23_28_29","Developed",0,"Rocky Mountain Foothill Limber Pine-Juniper Woodland",NA,NA,NA,NA,NA,NA,NA
"28","10490_19_20_21_23_28_29_Water","10490_19_20_21_23_28_29","Water",0,"Rocky Mountain Foothill Limber Pine-Juniper Woodland",NA,NA,NA,NA,NA,NA,NA
"29","10490_19_20_21_23_28_29_UN","10490_19_20_21_23_28_29","UN",0,"Rocky Mountain Foothill Limber Pine-Juniper Woodland",NA,NA,NA,NA,NA,NA,NA
"30","10490_19_20_21_23_28_29_UE","10490_19_20_21_23_28_29","UE",0,"Rocky Mountain Foothill Limber Pine-Juniper Woodland",1251,7,3,10490,29,74,4
"31","10510_29_A","10510_29","A",22,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"32","10510_29_B","10510_29","B",6,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"33","10510_29_C","10510_29","C",12,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"34","10510_29_D","10510_29","D",59,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",1252,4,30,10510,29,64,46
"35","10510_29_E","10510_29","E",1,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",1252,5,33,10510,29,64,51
"36","10510_29_Agriculture","10510_29","Agriculture",0,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"37","10510_29_Developed","10510_29","Developed",0,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"38","10510_29_Water","10510_29","Water",0,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"39","10510_29_UN","10510_29","UN",0,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",1252,6,1,10510,29,64,1
"40","10510_29_UE","10510_29","UE",0,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"41","10540_29_A","10540_29","A",6,"Southern Rocky Mountain Ponderosa Pine Woodland",1253,1,915,10540,29,6942,13
"42","10540_29_B","10540_29","B",19,"Southern Rocky Mountain Ponderosa Pine Woodland",1253,2,1,10540,29,6942,0
"43","10540_29_C","10540_29","C",13,"Southern Rocky Mountain Ponderosa Pine Woodland",1253,3,335,10540,29,6942,4
"44","10540_29_D","10540_29","D",53,"Southern Rocky Mountain Ponderosa Pine Woodland",1253,4,4245,10540,29,6942,61
"45","10540_29_E","10540_29","E",9,"Southern Rocky Mountain Ponderosa Pine Woodland",1253,5,437,10540,29,6942,6
"46","10540_29_Agriculture","10540_29","Agriculture",0,"Southern Rocky Mountain Ponderosa Pine Woodland",1253,180,4,10540,29,6942,0
"47","10540_29_Developed","10540_29","Developed",0,"Southern Rocky Mountain Ponderosa Pine Woodland",1253,120,38,10540,29,6942,0
"48","10540_29_Water","10540_29","Water",0,"Southern Rocky Mountain Ponderosa Pine Woodland",NA,NA,NA,NA,NA,NA,NA
"49","10540_29_UN","10540_29","UN",0,"Southern Rocky Mountain Ponderosa Pine Woodland",1253,6,915,10540,29,6942,13
"50","10540_29_UE","10540_29","UE",0,"Southern Rocky Mountain Ponderosa Pine Woodland",1253,7,52,10540,29,6942,0
"51","10550_29_A","10550_29","A",17,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",1254,1,1,10550,29,12,8
"52","10550_29_B","10550_29","B",34,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"53","10550_29_C","10550_29","C",8,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"54","10550_29_D","10550_29","D",10,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"55","10550_29_E","10550_29","E",31,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",1254,5,10,10550,29,12,83
"56","10550_29_Agriculture","10550_29","Agriculture",0,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"57","10550_29_Developed","10550_29","Developed",0,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",1254,120,1,10550,29,12,8
"58","10550_29_Water","10550_29","Water",0,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"59","10550_29_UN","10550_29","UN",0,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"60","10550_29_UE","10550_29","UE",0,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"61","10610_20_29_A","10610_20_29","A",9,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland",1257,1,76947,10610,29,122376,62
"62","10610_20_29_B","10610_20_29","B",44,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland",1257,2,717,10610,29,122376,0
"63","10610_20_29_C","10610_20_29","C",34,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland",1257,3,34547,10610,29,122376,28
"64","10610_20_29_D","10610_20_29","D",13,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland",1257,4,4841,10610,29,122376,3
"65","10610_20_29_E","10610_20_29","E",NA,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"66","10610_20_29_Agriculture","10610_20_29","Agriculture",0,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland",1257,180,38,10610,29,122376,0
"67","10610_20_29_Developed","10610_20_29","Developed",0,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland",1257,120,485,10610,29,122376,0
"68","10610_20_29_Water","10610_20_29","Water",0,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"69","10610_20_29_UN","10610_20_29","UN",0,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"70","10610_20_29_UE","10610_20_29","UE",0,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland",1257,7,4801,10610,29,122376,3
"71","10620_10_19_21_29_31_A","10620_10_19_21_29_31","A",8,"Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland",NA,NA,NA,NA,NA,NA,NA
"72","10620_10_19_21_29_31_B","10620_10_19_21_29_31","B",14,"Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland",NA,NA,NA,NA,NA,NA,NA
"73","10620_10_19_21_29_31_C","10620_10_19_21_29_31","C",12,"Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland",NA,NA,NA,NA,NA,NA,NA
"74","10620_10_19_21_29_31_D","10620_10_19_21_29_31","D",21,"Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland",NA,NA,NA,NA,NA,NA,NA
"75","10620_10_19_21_29_31_E","10620_10_19_21_29_31","E",45,"Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland",NA,NA,NA,NA,NA,NA,NA
"76","10620_10_19_21_29_31_Agriculture","10620_10_19_21_29_31","Agriculture",0,"Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland",NA,NA,NA,NA,NA,NA,NA
"77","10620_10_19_21_29_31_Developed","10620_10_19_21_29_31","Developed",0,"Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland",1258,120,39,10620,29,39,100
"78","10620_10_19_21_29_31_Water","10620_10_19_21_29_31","Water",0,"Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland",NA,NA,NA,NA,NA,NA,NA
"79","10620_10_19_21_29_31_UN","10620_10_19_21_29_31","UN",0,"Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland",NA,NA,NA,NA,NA,NA,NA
"80","10620_10_19_21_29_31_UE","10620_10_19_21_29_31","UE",0,"Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland",NA,NA,NA,NA,NA,NA,NA
"81","10720_22_29_A","10720_22_29","A",32,"Wyoming Basins Dwarf Sagebrush Shrubland and Steppe",NA,NA,NA,NA,NA,NA,NA
"82","10720_22_29_B","10720_22_29","B",68,"Wyoming Basins Dwarf Sagebrush Shrubland and Steppe",NA,NA,NA,NA,NA,NA,NA
"83","10720_22_29_C","10720_22_29","C",NA,"Wyoming Basins Dwarf Sagebrush Shrubland and Steppe",NA,NA,NA,NA,NA,NA,NA
"84","10720_22_29_D","10720_22_29","D",NA,"Wyoming Basins Dwarf Sagebrush Shrubland and Steppe",NA,NA,NA,NA,NA,NA,NA
"85","10720_22_29_E","10720_22_29","E",NA,"Wyoming Basins Dwarf Sagebrush Shrubland and Steppe",NA,NA,NA,NA,NA,NA,NA
"86","10720_22_29_Agriculture","10720_22_29","Agriculture",0,"Wyoming Basins Dwarf Sagebrush Shrubland and Steppe",NA,NA,NA,NA,NA,NA,NA
"87","10720_22_29_Developed","10720_22_29","Developed",0,"Wyoming Basins Dwarf Sagebrush Shrubland and Steppe",1260,120,1,10720,29,1,100
"88","10720_22_29_Water","10720_22_29","Water",0,"Wyoming Basins Dwarf Sagebrush Shrubland and Steppe",NA,NA,NA,NA,NA,NA,NA
"89","10720_22_29_UN","10720_22_29","UN",0,"Wyoming Basins Dwarf Sagebrush Shrubland and Steppe",NA,NA,NA,NA,NA,NA,NA
"90","10720_22_29_UE","10720_22_29","UE",0,"Wyoming Basins Dwarf Sagebrush Shrubland and Steppe",NA,NA,NA,NA,NA,NA,NA
"91","10850_29_30_A","10850_29_30","A",53,"Northwestern Great Plains Shrubland",1261,1,390,10850,29,902,43
"92","10850_29_30_B","10850_29_30","B",29,"Northwestern Great Plains Shrubland",1261,2,2,10850,29,902,0
"93","10850_29_30_C","10850_29_30","C",18,"Northwestern Great Plains Shrubland",1261,3,266,10850,29,902,29
"94","10850_29_30_D","10850_29_30","D",NA,"Northwestern Great Plains Shrubland",NA,NA,NA,NA,NA,NA,NA
"95","10850_29_30_E","10850_29_30","E",NA,"Northwestern Great Plains Shrubland",NA,NA,NA,NA,NA,NA,NA
"96","10850_29_30_Agriculture","10850_29_30","Agriculture",0,"Northwestern Great Plains Shrubland",1261,180,107,10850,29,902,11
"97","10850_29_30_Developed","10850_29_30","Developed",0,"Northwestern Great Plains Shrubland",1261,120,1,10850,29,902,0
"98","10850_29_30_Water","10850_29_30","Water",0,"Northwestern Great Plains Shrubland",NA,NA,NA,NA,NA,NA,NA
"99","10850_29_30_UN","10850_29_30","UN",0,"Northwestern Great Plains Shrubland",1261,6,108,10850,29,902,11
"100","10850_29_30_UE","10850_29_30","UE",0,"Northwestern Great Plains Shrubland",1261,7,28,10850,29,902,3
"101","10860_29_A","10860_29","A",5,"Rocky Mountain Lower Montane-Foothill Shrubland",1262,1,1211,10860,29,281402,0
"102","10860_29_B","10860_29","B",9,"Rocky Mountain Lower Montane-Foothill Shrubland",1262,2,246,10860,29,281402,0
"103","10860_29_C","10860_29","C",86,"Rocky Mountain Lower Montane-Foothill Shrubland",1262,3,22297,10860,29,281402,7
"104","10860_29_D","10860_29","D",NA,"Rocky Mountain Lower Montane-Foothill Shrubland",NA,NA,NA,NA,NA,NA,NA
"105","10860_29_E","10860_29","E",NA,"Rocky Mountain Lower Montane-Foothill Shrubland",NA,NA,NA,NA,NA,NA,NA
"106","10860_29_Agriculture","10860_29","Agriculture",0,"Rocky Mountain Lower Montane-Foothill Shrubland",1262,180,9183,10860,29,281402,3
"107","10860_29_Developed","10860_29","Developed",0,"Rocky Mountain Lower Montane-Foothill Shrubland",1262,120,18346,10860,29,281402,6
"108","10860_29_Water","10860_29","Water",0,"Rocky Mountain Lower Montane-Foothill Shrubland",NA,NA,NA,NA,NA,NA,NA
"109","10860_29_UN","10860_29","UN",0,"Rocky Mountain Lower Montane-Foothill Shrubland",1262,6,205149,10860,29,281402,72
"110","10860_29_UE","10860_29","UE",0,"Rocky Mountain Lower Montane-Foothill Shrubland",1262,7,24970,10860,29,281402,8
"111","11060_20_21_29_A","11060_20_21_29","A",11,"Northern Rocky Mountain Montane-Foothill Deciduous Shrubland",1263,1,2082,11060,29,18262,11
"112","11060_20_21_29_B","11060_20_21_29","B",47,"Northern Rocky Mountain Montane-Foothill Deciduous Shrubland",1263,2,1742,11060,29,18262,9
"113","11060_20_21_29_C","11060_20_21_29","C",42,"Northern Rocky Mountain Montane-Foothill Deciduous Shrubland",1263,3,278,11060,29,18262,1
"114","11060_20_21_29_D","11060_20_21_29","D",NA,"Northern Rocky Mountain Montane-Foothill Deciduous Shrubland",NA,NA,NA,NA,NA,NA,NA
"115","11060_20_21_29_E","11060_20_21_29","E",NA,"Northern Rocky Mountain Montane-Foothill Deciduous Shrubland",NA,NA,NA,NA,NA,NA,NA
"116","11060_20_21_29_Agriculture","11060_20_21_29","Agriculture",0,"Northern Rocky Mountain Montane-Foothill Deciduous Shrubland",1263,180,104,11060,29,18262,0
"117","11060_20_21_29_Developed","11060_20_21_29","Developed",0,"Northern Rocky Mountain Montane-Foothill Deciduous Shrubland",1263,120,1829,11060,29,18262,10
"118","11060_20_21_29_Water","11060_20_21_29","Water",0,"Northern Rocky Mountain Montane-Foothill Deciduous Shrubland",NA,NA,NA,NA,NA,NA,NA
"119","11060_20_21_29_UN","11060_20_21_29","UN",0,"Northern Rocky Mountain Montane-Foothill Deciduous Shrubland",1263,6,9486,11060,29,18262,51
"120","11060_20_21_29_UE","11060_20_21_29","UE",0,"Northern Rocky Mountain Montane-Foothill Deciduous Shrubland",1263,7,2741,11060,29,18262,15
"121","11170_29_A","11170_29","A",5,"Southern Rocky Mountain Ponderosa Pine Savanna",1264,1,23,11170,29,313,7
"122","11170_29_B","11170_29","B",2,"Southern Rocky Mountain Ponderosa Pine Savanna",NA,NA,NA,NA,NA,NA,NA
"123","11170_29_C","11170_29","C",8,"Southern Rocky Mountain Ponderosa Pine Savanna",1264,3,11,11170,29,313,3
"124","11170_29_D","11170_29","D",80,"Southern Rocky Mountain Ponderosa Pine Savanna",1264,4,101,11170,29,313,32
"125","11170_29_E","11170_29","E",5,"Southern Rocky Mountain Ponderosa Pine Savanna",1264,5,13,11170,29,313,4
"126","11170_29_Agriculture","11170_29","Agriculture",0,"Southern Rocky Mountain Ponderosa Pine Savanna",1264,180,17,11170,29,313,5
"127","11170_29_Developed","11170_29","Developed",0,"Southern Rocky Mountain Ponderosa Pine Savanna",1264,120,13,11170,29,313,4
"128","11170_29_Water","11170_29","Water",0,"Southern Rocky Mountain Ponderosa Pine Savanna",NA,NA,NA,NA,NA,NA,NA
"129","11170_29_UN","11170_29","UN",0,"Southern Rocky Mountain Ponderosa Pine Savanna",1264,6,114,11170,29,313,36
"130","11170_29_UE","11170_29","UE",0,"Southern Rocky Mountain Ponderosa Pine Savanna",1264,7,21,11170,29,313,6
"131","11250_20_29_30_31_33_A","11250_20_29_30_31_33","A",35,"Inter-Mountain Basins Big Sagebrush Steppe",1265,1,147743,11250,29,281247,52
"132","11250_20_29_30_31_33_B","11250_20_29_30_31_33","B",39,"Inter-Mountain Basins Big Sagebrush Steppe",1265,2,599,11250,29,281247,0
"133","11250_20_29_30_31_33_C","11250_20_29_30_31_33","C",26,"Inter-Mountain Basins Big Sagebrush Steppe",1265,3,85508,11250,29,281247,30
"134","11250_20_29_30_31_33_D","11250_20_29_30_31_33","D",NA,"Inter-Mountain Basins Big Sagebrush Steppe",NA,NA,NA,NA,NA,NA,NA
"135","11250_20_29_30_31_33_E","11250_20_29_30_31_33","E",NA,"Inter-Mountain Basins Big Sagebrush Steppe",NA,NA,NA,NA,NA,NA,NA
"136","11250_20_29_30_31_33_Agriculture","11250_20_29_30_31_33","Agriculture",0,"Inter-Mountain Basins Big Sagebrush Steppe",1265,180,19585,11250,29,281247,6
"137","11250_20_29_30_31_33_Developed","11250_20_29_30_31_33","Developed",0,"Inter-Mountain Basins Big Sagebrush Steppe",1265,120,3054,11250,29,281247,1
"138","11250_20_29_30_31_33_Water","11250_20_29_30_31_33","Water",0,"Inter-Mountain Basins Big Sagebrush Steppe",NA,NA,NA,NA,NA,NA,NA
